League Code,League Name,Country,Team ID,Team Name (Raw),Canonical Name,Created At
F2,Ligue 2,France,409,Annecy,annecy,2025-12-29T06:55:09.677004+03:00
F2,Ligue 2,France,410,Auxerre,auxerre,2025-12-29T06:55:09.679942+03:00
F2,Ligue 2,France,411,Bastia,bastia,2025-12-29T06:55:09.683328+03:00
F2,Ligue 2,France,412,Bordeaux,bordeaux,2025-12-29T06:55:09.687118+03:00
F2,Ligue 2,France,413,Boulogne,boulogne,2025-12-29T06:55:09.690747+03:00
F2,Ligue 2,France,414,Caen,caen,2025-12-29T06:55:09.694588+03:00
F2,Ligue 2,France,415,Chambly,chambly,2025-12-29T06:55:09.697934+03:00
F2,Ligue 2,France,416,Chateauroux,chateauroux,2025-12-29T06:55:09.701311+03:00
F2,Ligue 2,France,417,Clermont,clermont,2025-12-29T06:55:09.704528+03:00
F2,Ligue 2,France,418,Concarneau,concarneau,2025-12-29T06:55:09.708425+03:00
F2,Ligue 2,France,419,Dijon,dijon,2025-12-29T06:55:09.711854+03:00
F2,Ligue 2,France,420,Dunkerque,dunkerque,2025-12-29T06:55:09.715308+03:00
F2,Ligue 2,France,421,Grenoble,grenoble,2025-12-29T06:55:09.719112+03:00
